"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 18:33:52 IDT 2021","Mon Aug 09 18:33:55 IDT 2021","3568","Web Suite","web Test","sanity.GrafanaWeb","sanity.GrafanaWeb","test04_verifyNewUserDeletion","Test04 - Verify User Deletion","This Test login and verifies the main header"
"passed","Mon Aug 09 18:34:16 IDT 2021","Mon Aug 09 18:34:29 IDT 2021","13795","Web Suite","web Test","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_SearchUsers","Test07 - Search Users","This Test Searched Users in a table using TDD"
"passed","Mon Aug 09 18:34:11 IDT 2021","Mon Aug 09 18:34:15 IDT 2021","3874","Web Suite","web Test","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_SearchUsers","Test07 - Search Users","This Test Searched Users in a table using TDD"
"failed","Mon Aug 09 18:33:47 IDT 2021","Mon Aug 09 18:33:48 IDT 2021","1789","Web Suite","web Test","sanity.GrafanaWeb","sanity.GrafanaWeb","test02_verifyDefaultUsers","Test02 - Verify Default Users","This Test verifies the default users"
"passed","Mon Aug 09 18:33:49 IDT 2021","Mon Aug 09 18:33:52 IDT 2021","2962","Web Suite","web Test","sanity.GrafanaWeb","sanity.GrafanaWeb","test03_verifyNewUser","Test03 - Verify New User","This Test verifies a new user has been added"
"passed","Mon Aug 09 18:33:56 IDT 2021","Mon Aug 09 18:34:11 IDT 2021","14717","Web Suite","web Test","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_SearchUsers","Test07 - Search Users","This Test Searched Users in a table using TDD"
"passed","Mon Aug 09 18:33:40 IDT 2021","Mon Aug 09 18:33:46 IDT 2021","5788","Web Suite","web Test","sanity.GrafanaWeb","sanity.GrafanaWeb","test01_verifyHeader","Test01 - Verify Header","This Test login and verifies the main header"
"passed","Mon Aug 09 18:33:56 IDT 2021","Mon Aug 09 18:33:56 IDT 2021","372","Web Suite","web Test","sanity.GrafanaWeb","sanity.GrafanaWeb","test05_verifyProgressStep","Test05 - Verify Progress Steps","This Test verifies the default progress steps are displayed (using soft assertion"
